track_status,anc4_weighted_avg,anc4_countries,sba_weighted_avg,sba_countries,total_countries,total_births_2022,total_births_millions
off-track,55.3,42,68.7,44,52,57892665.99999999,57.9
on-track,72.8,44,92.5,105,120,76100366,76.1
