iso3_code,ref_area,country_name,country_official_name,track_status,time_period,anc4_coverage,sba_coverage,births_2022,births_2022_thousands,population_2022_thousands
MAR,MAR: Morocco,Morocco,Morocco,on-track,2018,53.5,86.6,643109,643.109,37457.971
MDA,MDA: Republic of Moldova,Republic of Moldova,Republic of Moldova,on-track,2022,NA,99.7,36943.00000000001,36.943000000000005,3272.996
MDG,MDG: Madagascar,Madagascar,Madagascar,off-track,2021,59.9,45.8,906130,906.13,29611.714
MEX,MEX: Mexico,Mexico,Mexico,on-track,2022,NA,87.5,1866399,1866.399,127504.125
MKD,MKD: North Macedonia,North Macedonia,North Macedonia,on-track,2019,95.7,NA,19991.999999999996,19.991999999999997,2093.599
MKD,MKD: North Macedonia,North Macedonia,North Macedonia,on-track,2021,NA,100,19991.999999999996,19.991999999999997,2093.599
MLI,MLI: Mali,Mali,Mali,off-track,2018,43.3,67.3,932317,932.317,22593.59
MLT,MLT: Malta,Malta,Malta,on-track,2022,NA,99.8,4856.999999999999,4.856999999999999,533.286
MNE,MNE: Montenegro,Montenegro,Montenegro,on-track,2018,94.2,98.8,6859,6.859,627.082
MNG,MNG: Mongolia,Mongolia,Mongolia,on-track,2018,88.5,99.3,69481,69.481,3398.366
MOZ,MOZ: Mozambique,Mozambique,Mozambique,off-track,2018,51,NA,1191147,1191.147,32969.518
MRT,MRT: Mauritania,Mauritania,Mauritania,off-track,2021,38.5,70.4,156047,156.047,4736.139
MSR,MSR: Montserrat,Montserrat,Montserrat,on-track,2020,NA,100,40,0.04,4.39
MUS,MUS: Mauritius,Mauritius,Mauritius,on-track,2021,NA,99.7,13266,13.266,1299.469
MWI,MWI: Malawi,Malawi,Malawi,off-track,2020,50.5,96.4,665678.0000000001,665.6780000000001,20405.317
MYS,MYS: Malaysia,Malaysia,Malaysia,on-track,2022,98.1,99.8,509232,509.232,33938.221
NER,NER: Niger,Niger,Niger,off-track,2021,37.3,43.7,1180653.9999999998,1180.6539999999998,26207.977
NGA,NGA: Nigeria,Nigeria,Nigeria,off-track,2021,60.4,50.7,8002758,8002.758,218541.212
NOR,NOR: Norway,Norway,Norway,on-track,2022,NA,99.1,53988,53.988,5434.319
NPL,NPL: Nepal,Nepal,Nepal,on-track,2022,80.5,80.1,616656.9999999999,616.6569999999999,30547.58
NZL,NZL: New Zealand,New Zealand,New Zealand,on-track,2021,NA,95.8,64102.99999999998,64.10299999999998,5185.288
OMN,OMN: Oman,Oman,Oman,on-track,2019,73.9,NA,81043,81.043,4576.298
OMN,OMN: Oman,Oman,Oman,on-track,2022,NA,100,81043,81.043,4576.298
PAK,PAK: Pakistan,Pakistan,Pakistan,off-track,2019,52.4,NA,6424943.999999999,6424.9439999999995,235824.862
PAK,PAK: Pakistan,Pakistan,Pakistan,off-track,2020,NA,68,6424943.999999999,6424.9439999999995,235824.862
PAN,PAN: Panama,Panama,Panama,on-track,2021,NA,92.5,76637,76.637,4408.581
PER,PER: Peru,Peru,Peru,on-track,2020,95.8,NA,592155.9999999999,592.1559999999998,34049.588
PER,PER: Peru,Peru,Peru,on-track,2021,NA,94.9,592155.9999999999,592.1559999999998,34049.588
PHL,PHL: Philippines,Philippines,Philippines,off-track,2022,83,89.6,2499081,2499.081,115559.009
PLW,PLW: Palau,Palau,Palau,on-track,2022,NA,98.7,270,0.27,18.055
PNG,PNG: Papua New Guinea,Papua New Guinea,Papua New Guinea,off-track,2018,49,56.4,254718,254.718,10142.619
POL,POL: Poland,Poland,Poland,on-track,2022,NA,99.6,353840.00000000006,353.84000000000003,39857.145
PRT,PRT: Portugal,Portugal,Portugal,on-track,2022,NA,97.3,80033,80.033,10270.865
PRY,PRY: Paraguay,Paraguay,Paraguay,on-track,2021,81,91.2,137960,137.96,6780.744
PSE,PSE: State of Palestine,State of Palestine,State of Palestine,on-track,2020,94.8,99.7,145448.99999999997,145.44899999999998,5250.072
QAT,QAT: Qatar,Qatar,Qatar,on-track,2021,NA,100,24497,24.497,2695.122
ROU,ROU: Romania,Romania,Romania,on-track,2021,70.1,94.7,191762.99999999997,191.763,19659.267
RUS,RUS: Russian Federation,Russian Federation,Russian Federation,on-track,2022,NA,99.7,1375808,1375.808,144713.314
RWA,RWA: Rwanda,Rwanda,Rwanda,off-track,2020,47.2,94.2,406214,406.214,13776.698
SAU,SAU: Saudi Arabia,Saudi Arabia,Saudi Arabia,on-track,2019,79.7,94.8,615690,615.69,36408.82
SEN,SEN: Senegal,Senegal,Senegal,off-track,2021,29.2,NA,555696,555.696,17316.449
SEN,SEN: Senegal,Senegal,Senegal,off-track,2019,NA,74.5,555696,555.696,17316.449
SGP,SGP: Singapore,Singapore,Singapore,on-track,2022,NA,99.5,42333.00000000001,42.333000000000006,5975.689
SLE,SLE: Sierra Leone,Sierra Leone,Sierra Leone,off-track,2019,78.8,86.9,265022.99999999994,265.02299999999997,8605.718
SLV,SLV: El Salvador,El Salvador,El Salvador,on-track,2021,NA,98.1,100313,100.313,6336.392
SOM,SOM: Somalia,Somalia,Somalia,off-track,2019,24.4,31.9,759044,759.044,17597.511
SRB,SRB: Serbia,Serbia,Serbia,on-track,2019,96.6,99.9,66557,66.557,7221.365
SSD,SSD: South Sudan,South Sudan,South Sudan,off-track,2020,31.1,39.7,315390,315.39,10913.164
STP,STP: Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,on-track,2019,NA,96.8,6370,6.37,227.38
SUR,SUR: Suriname,Suriname,Suriname,on-track,2018,67.5,NA,11123.000000000002,11.123,618.04
SUR,SUR: Suriname,Suriname,Suriname,on-track,2021,NA,100,11123.000000000002,11.123,618.04
SVK,SVK: Slovakia,Slovakia,Slovakia,on-track,2022,NA,98.1,53357,53.357,5643.453
SWZ,SWZ: Eswatini,Eswatini,Eswatini,off-track,2022,73.5,93.4,28475.999999999996,28.475999999999996,1201.67
SYC,SYC: Seychelles,Seychelles,Seychelles,on-track,2022,NA,99.8,1611,1.611,107.118
TCA,TCA: Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,on-track,2020,93.2,100,560,0.56,45.703
TCD,TCD: Chad,Chad,Chad,off-track,2019,NA,47.2,765648,765.648,17723.315
THA,THA: Thailand,Thailand,Thailand,on-track,2022,88.3,99.6,631239,631.239,71697.03
TKM,TKM: Turkmenistan,Turkmenistan,Turkmenistan,off-track,2019,97.6,NA,133491,133.491,6430.77
TKM,TKM: Turkmenistan,Turkmenistan,Turkmenistan,off-track,2022,NA,99.7,133491,133.491,6430.77
TLS,TLS: Timor-Leste,Timor-Leste,Timor-Leste,off-track,2020,83.1,NA,33074.00000000001,33.074000000000005,1341.296
TON,TON: Tonga,Tonga,Tonga,on-track,2019,88.5,98.3,2455.9999999999995,2.4559999999999995,106.858
TUN,TUN: Tunisia,Tunisia,Tunisia,on-track,2018,84.1,99.5,192759,192.759,12356.117
TUR,TUR: Türkiye,Türkiye,Türkiye,on-track,2018,89.7,NA,1236900,1236.9,85341.241
TUR,TUR: Türkiye,Türkiye,Türkiye,on-track,2019,NA,97,1236900,1236.9,85341.241
TUV,TUV: Tuvalu,Tuvalu,Tuvalu,on-track,2020,60.3,99.5,265,0.265,11.312
TZA,TZA: United Republic of Tanzania,United Republic of Tanzania,United Republic of Tanzania,off-track,2022,65.1,85,2346821,2346.821,65497.748
UGA,UGA: Uganda,Uganda,Uganda,off-track,2018,56.7,NA,1713605,1713.605,47249.585
UGA,UGA: Uganda,Uganda,Uganda,off-track,2022,NA,91,1713605,1713.605,47249.585
URY,URY: Uruguay,Uruguay,Uruguay,on-track,2022,97.3,NA,35668.00000000001,35.668000000000006,3422.794
URY,URY: Uruguay,Uruguay,Uruguay,on-track,2021,NA,100,35668.00000000001,35.668000000000006,3422.794
USA,USA: United States,United States of America,United States,on-track,2021,NA,98.6,3726867,3726.867,338289.857
UZB,UZB: Uzbekistan,Uzbekistan,Uzbekistan,on-track,2022,89.5,99,776814.9999999999,776.8149999999999,34627.652
VCT,VCT: Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,on-track,2021,NA,99,1324,1.324,103.948
VEN,VEN: Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),on-track,2018,NA,98.7,438384,438.384,28301.696
VNM,VNM: Viet Nam,Viet Nam,Viet Nam,on-track,2021,88.2,96.1,1442809,1442.809,98186.856
WSM,WSM: Samoa,Samoa,Samoa,on-track,2021,69.8,NA,6023.999999999999,6.023999999999999,222.382
WSM,WSM: Samoa,Samoa,Samoa,on-track,2020,NA,88.9,6023.999999999999,6.023999999999999,222.382
ZMB,ZMB: Zambia,Zambia,Zambia,off-track,2019,63.5,80.4,683354.9999999999,683.3549999999999,20017.675
ZWE,ZWE: Zimbabwe,Zimbabwe,Zimbabwe,off-track,2019,71.5,86,491195,491.195,16320.537
